name,main_info,whisky_type,volume(cl),alcohol(%),price(£),style_body_last,style_richness_last,style_smoke_last,style_sweetness_last,characters,food_paring,bottler,bottling_decade_clean,bottler_canon,is_independent,bottling_year,age,age_,age_int,is_nas,country,region,casktype,cask_group,colouring,vintage,vintage_clean,nose,palate,finish,reviews,_text_all,price_per_cl,alcohol_density,smoky_family,fruity_family,floral_family,herbal_family,sweet_family,nutty_family,spicy_family,woody_family,earthy_family,malty_family,creamy_family,wine_family,marine_family,other_family,rarity_scarcity,rarity_price_premium,rarity_distillery,rarity_vintage,rarity_score,cluster_taste,cluster_taste_name,pc1,pc2
Blended Scotch TB-BSW6 Year Old Thompson Bros,blended scotch whisky,blended,70.0,46.0,34.25,3.0,3.0,0.0,3.0,"Figs, Sultana, Cinnamon, Nutmeg, Toffee, Coffee",,,,thompson bros,1,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,False,,,"Plum sauce, miso, golden sultanas, cinder toffee and coffee crème patissiere","Golden sultanas, raisin loaf, buttered Jamaica cake, maple and toasted cinnamon","Soft warm spice; allspice, nutmeg and cinnamon, with orange peel and dried figs","Stunning stuff for the money, might well be my new house dram. Soft, beautifully textural with restrained sherry sweetness. || This is great value for money if you’re looking for a regular sipper at a great price . 46%, natural colour and non chill filtered. I ‘ll definitely be being another bottle. || This is super. Tried it with a friend and had a blind tasting of 4 other drams. This came out tops. Even knocked the socks off 3 Islay malts. In our tasting. || Excellent balanced dram. One of best, new generation blended whiskies on the market, a must try. NK || Great value for a rich tasting scotch. Love it. || Forced to write a review having taken a punt and bought a bottle as a regular inexpensive ""sipper"". Usually Naked Grouse fills this space in my cabinet, which I find terrific value, and usually can get for near enough £20, and hits those sherry malty notes I find quaffable. However TB/BSW is a far superior product. Very sherried and thick treacle, hitting many of the notes as a GlenAllachie 15, and at half the price. Non chill filtered and no colour added to boot. This really is a great addition to any collection for a fan of big sherry cask influence, with great depth of flavour and complexity, and in my view unrivalled value for money in the sub £35 level. || Excellent liquid and great value! || Reputedly from Edrington stock this is a lovely sherry bomb of a blend. The grain is almost  imperceptible, this tastes more like a classic Speyside sherried malt with all the Xmas cake vibes that entails. After a while open oxidation resulted in a sulphur note that came to dominate proceedings a little so if you're sensitive to that you may wish to swerve this one (minus a star for that). However overall value is excellent!",figs sultana cinnamon nutmeg toffee coffee plum sauce miso golden sultanas cinder toffee and coffee cr me patissiere golden sultanas raisin loaf buttered jamaica cake maple and toasted cinnamon soft warm spice allspice nutmeg and cinnamon with orange peel and dried figs stunning stuff for the money might well be my new house dram soft beautifully textural with restrained sherry sweetness this is great value for money if you re looking for regular sipper at great price natural colour and non chill filtered ll definitely be being another bottle this is super tried it with friend and had blind tasting of other drams this came out tops even knocked the socks off islay malts in our tasting excellent balanced dram one of best new generation blended whiskies on the market must try nk great value for rich tasting scotch love it forced to write review having taken punt and bought bottle as regular inexpensive sipper usually naked grouse fills this space in my cabinet which find terrific value and usually can get for near enough and hits those sherry malty notes find quaffable however tb bsw is far superior product very sherried and thick treacle hitting many of the notes as glenallachie and at half the price non chill filtered and no colour added to boot this really is great addition to any collection for fan of big sherry cask influence with great depth of flavour and complexity and in my view unrivalled value for money in the sub level excellent liquid and great value reputedly from edrington stock this is lovely sherry bomb of blend the grain is almost imperceptible this tastes more like classic speyside sherried malt with all the xmas cake vibes that entails after while open oxidation resulted in sulphur note that came to dominate proceedings little so if you re sensitive to that you may wish to swerve this one minus star for that however overall value is excellent,0.4892857142857142,3220.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0.3996719967199671,0.0007504033782431,0.0,0.0,0.2375332603796793,1,Balanced,-0.019136994712462305,-0.6157242202255798
Johnnie Walker Blue Label,blended scotch whisky,blended,70.0,40.0,158.0,3.0,3.0,1.0,2.0,"Rose, Hazelnut, Honey, Smoke, Dark Chocolate, Tobacco","Octopus, Monkfish, Fondue",,,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,True,,,"Smooth, silky cereal, syrupy flapjacks, polished oak. Dessicated coconut, then other nutty notes: unsalted peanut, brazil nut.","A silky caress. Unexpectedly strong spicy entry, but always honeyed and rounded by some toasty oak. The honeyed malt is beautifully interwoven around the venerable grain, which must be absolutely ancient.","A perfectly-integrated slow fade of the palate. Mouthwatering grain, and the honey and spices dwindle slowly. Extremely long but still very gentle.","Un elixir. || Excellent Whisky. Smooth on the palate, easy to drink and exceptionally good. || Not worth the price. Bought it due to all the hype surrounding it and was disappointed. I would prefer a bottle of single malts such as Glenfiddich over it.",rose hazelnut honey smoke dark chocolate tobacco octopus monkfish fondue smooth silky cereal syrupy flapjacks polished oak dessicated coconut then other nutty notes unsalted peanut brazil nut silky caress unexpectedly strong spicy entry but always honeyed and rounded by some toasty oak the honeyed malt is beautifully interwoven around the venerable grain which must be absolutely ancient perfectly-integrated slow fade of the palate mouthwatering grain and the honey and spices dwindle slowly extremely long but still very gentle un elixir excellent whisky smooth on the palate easy to drink and exceptionally good not worth the price bought it due to all the hype surrounding it and was disappointed would prefer bottle of single malts such as glenfiddich over it,2.257142857142857,2800.0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0.0,0.0097661721216985,0.0,0.0,0.0057933589752401,1,Balanced,-0.7782119235044862,1.5942871936953193
The Big Ben,blended scotch whisky,blended,50.0,40.0,23.5,3.1,3.0,0.8,3.0,no description,,,,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,True,,,"Medium weight, malty nose, with hints of orange peel.","Medium depth, hints of smokiness and sweetness, round and smooth on palate.",Elegant finish.,Very pleased with the whiskey. Highly recommend,no description medium weight malty nose with hints of orange peel medium depth hints of smokiness and sweetness round and smooth on palate elegant finish very pleased with the whisky highly recommend,0.47,2000.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.2731680012554319,0.0,0.0,0.162045095263623,1,Balanced,0.08178983474904629,0.1614367110594289
J&B Rare,blended scotch whisky,blended,70.0,40.0,25.25,2.8,2.7,0.2,2.8,no description,,,,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,True,,,no description,no description,no description,"Very nice || Was delighted to find this whisky and at a very reasonable price from the Whisky Exchange. I bought it for my son's birthday, it's his favourite, he was delighted. I was disappointed I couldn't find J and B in a litre bottle, had to settle for 70cl || Have always considered this to be the best, but it is very difficult to find in any shops || a beautiful scotch not overwhealming, but a lingering flavour sadly not available as it used to be",no description no description no description no description very nice was delighted to find this whisky and at very reasonable price from the whisky exchange bought it for my son birthday it his favourite he was delighted was disappointed couldn find and in litre bottle had to settle for cl have always considered this to be the best but it is very difficult to find in any shops beautiful scotch not overwhealming but lingering flavour sadly not available as it used to be,0.3607142857142857,2800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.471110599185452e-05,0.0,0.0,5.618326495943487e-05,1,Balanced,-0.6891156352069581,-0.306850755723008
Dimple 15 Year OldLitre,blended scotch whisky,blended,100.0,43.0,69.95,3.0,3.0,0.0,3.0,"Caramel, Cinnamon, Vanilla, Dark Chocolate",,,,distillery bottling,0,,15 year old,15.0,15.0,0,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,caramel cinnamon vanilla dark chocolate no description no description no description,0.6995,4300.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.3333333333333333,0.0033513160581733,0.0,0.3122073056509525,0.3231925801564302,1,Balanced,-0.019136994712462305,-0.6157242202255798
Dimple Gold Selection,blended scotch whisky,blended,70.0,40.0,36.5,2.9,2.7,0.3,2.9,no description,,,,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,True,,,no description,no description,no description,"Great whiskey,at a bargain price. Smooth on the palate,rich taste || I bought this as an alternative to Haig original. It has the Haig notes I remember, but sadly was too infused with caramel for me to truly enjoy it.",no description no description no description no description great whisky at bargain price smooth on the palate rich taste bought this as an alternative to haig original it has the haig notes remember but sadly was too infused with caramel for me to truly enjoy it,0.5214285714285715,2800.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0009143264463059,0.0,0.0,0.0005423845963391,1,Balanced,-0.4981301315159187,-0.30857215962654566
Johnnie Walker Swing,blended scotch whisky,blended,70.0,40.0,61.75,3.0,2.8,0.8,3.0,no description,,,,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,True,,,"Complex and sophisticated with almost perfumed sweetness. Unquestionably soft and accessible, you are sure to notice the fanciful vanilla and sherry-cask wood notes wafting through.","Smooth and sweet. But its light freshness cloaks a deeper fruitiness, with some smoke and restrained flavors lingering beyond.","A lengthy and rich finish, reverberating with sweetness, completes the movement.","Certainly overpriced for what it is -- I pick up a fair bit of Cardhu malt on the palate, so if that's a whisky to your liking, you'll enjoy Swing. It's an effortlessly inoffensive blend, nicely balanced and integrated. Nothing really stands out (apart from the glorious nose), but nothing upsets, either. Frightfully easy to drink, tasty, but once again, a bit too bruising to the wallet. My bottles are from pre-2009, so YMMV with the more contemporary bottlings. || I have tried SWING and really liked it. Its taste was outstanding and compares with JW Blue, and I really thought nothing could compare to JW Blue. || I was bought a bottle for a birthday present and not being a whiskey drinker I was very surprised to find only half a bottle left the next morning!! Count me as a convert || Of all the Johnnies, this is the goto swig. || ""Nose"" (undiluted) Invitingly floral with gentle sherry notes, followed by a wisp of smoke. Malty too. ""Palate"" (undiluted) Sweet wild honey smeared on dark toast. Light sherry notes (think dark red fruit) make an appearance before a transition to spiced vanilla and butterscotch. ""Finish"" (undiluted) Sherry still there. Some oak comes to the forefront before fading to a final dark red fruit note (due to the sherry influence) .",no description complex and sophisticated with almost perfumed sweetness unquestionably soft and accessible you are sure to notice the fanciful vanilla and sherry-cask wood notes wafting through smooth and sweet but its light freshness cloaks deeper fruitiness with some smoke and restrained flavors lingering beyond lengthy and rich finish reverberating with sweetness completes the movement certainly overpriced for what it is -- pick up fair bit of cardhu malt on the palate so if that whisky to your liking you ll enjoy swing it an effortlessly inoffensive blend nicely balanced and integrated nothing really stands out apart from the glorious nose but nothing upsets either frightfully easy to drink tasty but once again bit too bruising to the wallet my bottles are from pre- so ymmv with the more contemporary bottlings have tried swing and really liked it its taste was outstanding and compares with jw blue and really thought nothing could compare to jw blue was bought bottle for birthday present and not being whisky drinker was very surprised to find only half bottle left the next morning count me as convert of all the johnnies this is the goto swig nose undiluted invitingly floral with gentle sherry notes followed by wisp of smoke malty too palate undiluted sweet wild honey smeared on dark toast light sherry notes think dark red fruit make an appearance before transition to spiced vanilla and butterscotch finish undiluted sherry still there some oak comes to the forefront before fading to final dark red fruit note due to the sherry influence,0.8821428571428571,2800.0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0.0,0.0027539075434554,0.0,0.0,0.0016336364734358,1,Balanced,-0.22372091132103245,0.08379061205715678
Chivas Regal 12 Year Old,blended scotch whisky,blended,70.0,40.0,24.25,2.7,2.6,0.8,3.0,"Honey, Vanilla, Apple, Pear, Butterscotch, Heather",,,,distillery bottling,0,,12 year old,12.0,12.0,0,scotland,unknown_scotland,not specified,unknown,True,,,no description,no description,no description,"Very mundane. Not bad but far from good. Its got a bite which doesn't bother me of it has a smooth finish. It does not. I can't detect notes of anything like a Speyside is known for no fruit or toffee or anything. And I don't disdain a good Blended Scotch. This just ain't in the toppins. || The worst whiskey I have ever tasted. Yes, someone might call it smooth, but it completely lacks any distinguishing flavors, no character! I really don't know how it can be so popular all over the world. In my opinion, ?ther 12 year old blends like Dewars 12 and Grants 12 are much better with more distinguished aromas and taste. I won't give this even to my worst enemy. || Disgusting all burn and a big blast of alcohol not even worth £ 1 . Had to give 1 star or review not accepted otherwise would give it minus 5 stars .probably not even useful as drain cleaner! || The nose is stewed fruits, mainly apple, red and green. Not much else after that. Same for the taste. Nice and sweet with white pepper at the end. Good price for it though. || Wow fab",honey vanilla apple pear butterscotch heather no description no description no description very mundane not bad but far from good its got bite which doesn bother me of it has smooth finish it does not can detect notes of anything like speyside is known for no fruit or toffee or anything and don disdain good blended scotch this just ain in the toppins the worst whisky have ever tasted yes someone might call it smooth but it completely lacks any distinguishing flavors no character really don know how it can be so popular all over the world in my opinion ther year old blends like dewars and grants are much better with more distinguished aromas and taste won give this even to my worst enemy disgusting all burn and big blast of alcohol not even worth had to give star or review not accepted otherwise would give it minus stars probably not even useful as drain cleaner the nose is stewed fruits mainly apple red and green not much else after that same for the taste nice and sweet with white pepper at the end good price for it though wow fab,0.3464285714285714,2800.0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.3333333333333333,2.18564090750434e-05,0.0,0.2185451139556667,0.2841768276734365,1,Balanced,-0.7688217999150031,-0.06049416605791562
Te Bheag,blended scotch whisky,blended,70.0,40.0,34.5,2.7,2.7,0.8,2.9,no description,,,,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,True,,,no description,no description,no description,"re review last time in my review i said awsome well balanced witch i was referring to the te bheag and not to the Glenfidish 12 , right now just finished pouring myself a second wee dram and again a hidden gem its like walking on the beach and breating in that sea salt air. sweet and relaxed. || I'm a single-malt guy, but I tried this many years ago while sharing a friend's birthday cake and it blew me away. Years later I continue to be impressed by its warmth and complexity. It was great value for the money back then and, thankfully, still is! || awsome well balanced just finished a wee dram of glenfidish 12 this is by far way better more complex || Yes - bought some whilst staying in Skye - fabulous blend that I have never found anything to match. I have recommended to many friends but had to stop as there was none left on the shelves! || While traveling in Scotland I purchased a bottle at the distillery. I fell in love with it. My girlfriend was suffering from a cold but doesn't drink whiskey. She took a dram, then a second and loved it. Tried to find it in the US but they couldn't import it back then.",no description no description no description no description re review last time in my review said awsome well balanced witch was referring to the te bheag and not to the glenfidish right now just finished pouring myself second wee dram and again hidden gem its like walking on the beach and breating in that sea salt air sweet and relaxed single-malt guy but tried this many years ago while sharing friend birthday cake and it blew me away years later continue to be impressed by its warmth and complexity it was great value for the money back then and thankfully still is awsome well balanced just finished wee dram of glenfidish this is by far way better more complex yes - bought some whilst staying in skye - fabulous blend that have never found anything to match have recommended to many friends but had to stop as there was none left on the shelves while traveling in scotland purchased bottle at the distillery fell in love with it my girlfriend was suffering from cold but doesn drink whisky she took dram then second and loved it tried to find it in the us but they couldn import it back then,0.4928571428571429,2800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0007686170524723,0.0,0.0,0.0004559488040938,1,Balanced,-0.7495129251650846,0.08969015609103431
Johnnie Walker Black Label 12 Year Old,blended scotch whisky,blended,70.0,40.0,30.75,2.0,2.0,3.0,2.0,"Cream, Toffee, Dried Fruit, Smoke","Octopus, Monkfish, Fondue",,,distillery bottling,0,,12 year old,12.0,12.0,0,scotland,unknown_scotland,not specified,unknown,True,,,"Soft and complex with touches of toasted oak, honey, coconut, and figs.",Spicy with a nice allspice note on top and caramel syrup sweetness underneath.,"Hints of lemon-lime citrus develop later, and last through the long finish.","Johnnie Walker Black Label is one of the iconic blends. If you're a beginner- this is a whisky you should try. Before JWB I tried basic versions of JW, Grant's, Ballantine's. To me JWB was on a different level of complexity. This is not a single malt but it has a very smooth, consistent taste, I get notes of tobacco, oak, some grass, smoky finish. Great on ice or with a bit of water. || Really enjoyed this for a while until it started to give me an after taste of soap. Put me off it after that || Boring, flat and bland. Truly unremarkable. || I wanted to like this, but it's really just all a bit flat. You can tell that the flavours are there but they are so reduced to make this all a bit bland, unfortunately. It could really do with a couple of more points on the alcohol percentage. There is a bit of smoke and a bit of toffee and a bit of oil on the tongue, just not enough of any of those factors. Don't add ice or water, any flavour that is there will be nullified. Maybe I'm being harsh coming from some of the big single malt flavours, but I'm always interested in what the blenders can do. I bought this on offer, to contradict myself, I'll keep it to mix with cola and ice, or even IRN BRU. || I want to rate this three stars, but as soon as you’re out for dinner somewhere that doesn’t have a good selection of scotch JWB becomes a five star expression. Probably the best feature is the perfect 50/50 blend of Islay peat smoke and charred oak barrel smoke. Though, I’m still not a fan of the heavy peatedness. And would prefer the oak char only. Nevertheless, on a lot of ice as it is served in bars and restaurants, this totally hits the spot. It’s completely reliable. For the price, this is impossible to beat. Very good blend of sweet, vanilla, leather and peppered tannins. There really isn’t anything else available that is this versatile. Definitely nothing at this price.",cream toffee dried fruit smoke octopus monkfish fondue soft and complex with touches of toasted oak honey coconut and figs spicy with nice allspice note on top and caramel syrup sweetness underneath hints of lemon-lime citrus develop later and last through the long finish johnnie walker black label is one of the iconic blends if you re beginner- this is whisky you should try before jwb tried basic versions of jw grant ballantine to me jwb was on different level of complexity this is not single malt but it has very smooth consistent taste get notes of tobacco oak some grass smoky finish great on ice or with bit of water really enjoyed this for while until it started to give me an after taste of soap put me off it after that boring flat and bland truly unremarkable wanted to like this but it really just all bit flat you can tell that the flavours are there but they are so reduced to make this all bit bland unfortunately it could really do with couple of more points on the alcohol percentage there is bit of smoke and bit of toffee and bit of oil on the tongue just not enough of any of those factors don add ice or water any flavour that is there will be nullified maybe being harsh coming from some of the big single malt flavours but always interested in what the blenders can do bought this on offer to contradict myself ll keep it to mix with cola and ice or even irn bru want to rate this three stars but as soon as you re out for dinner somewhere that doesn have good selection of scotch jwb becomes five star expression probably the best feature is the perfect blend of islay peat smoke and charred oak barrel smoke though still not fan of the heavy peatedness and would prefer the oak char only nevertheless on lot of ice as it is served in bars and restaurants this totally hits the spot it completely reliable for the price this is impossible to beat very good blend of sweet vanilla leather and peppered tannins there really isn anything else available that is this versatile definitely nothing at this price,0.4392857142857143,2800.0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0.3333333333333333,0.0004954119390343,0.0,0.2185451139556667,0.2844577439982337,3,Smoky & Full-Body,-2.951911614665705,2.899063980223479
